source,target,capacity,,num_nodes,func_count_nodes
0,3,2,,42,"SUMPRODUCT(1/COUNTIF(data,data))"
3,0,5,,,
1,6,3,,,
6,1,7,,,
1,2,4,,,
2,1,2,,,
2,3,4,,,
3,2,8,,,
3,5,5,,,
5,3,3,,,
8,3,11,,,
3,8,2,,,
10,5,5,,,
5,10,2,,,
11,3,9,,,
3,11,10,,,
6,7,8,,,
7,6,3,,,
4,2,1,,,
2,4,2,,,
6,3,5,,,
3,6,9,,,
12,6,11,,,
6,12,9,,,
13,6,7,,,
6,13,2,,,
9,5,3,,,
5,9,10,,,
14,3,1,,,
3,14,8,,,
15,5,1,,,
5,15,3,,,
16,5,2,,,
5,16,11,,,
17,5,10,,,
5,17,8,,,
18,17,8,,,
17,18,4,,,
19,18,5,,,
18,19,8,,,
20,18,4,,,
18,20,5,,,
21,18,6,,,
18,21,5,,,
22,18,5,,,
18,22,4,,,
23,18,1,,,
18,23,5,,,
24,18,1,,,
18,24,5,,,
25,18,2,,,
18,25,9,,,
26,4,10,,,
4,26,7,,,
27,4,8,,,
4,27,10,,,
28,4,2,,,
4,28,1,,,
29,4,8,,,
4,29,8,,,
30,9,5,,,
9,30,10,,,
31,9,6,,,
9,31,4,,,
32,9,9,,,
9,32,5,,,
25,9,3,,,
9,25,5,,,
5,14,7,,,
14,5,5,,,
33,6,9,,,
6,33,5,,,
34,6,7,,,
6,34,3,,,
35,6,10,,,
6,35,4,,,
36,6,5,,,
6,36,6,,,
37,6,1,,,
6,37,1,,,
38,6,7,,,
6,38,5,,,
39,4,7,,,
4,39,9,,,
40,4,7,,,
4,40,10,,,
41,4,6,,,
4,41,1,,,
4,18,12,,,
18,4,9,,,
